Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
3983614a77777c0bb218eb4128d6a559e5ed8d73cb8f61ae0d393c394c3925f5,2023-03,City of London Police,City of London Police,-0.079907,51.517785,On or near Victoria Avenue,E01032739,City of London 001F,Drugs,Under investigation
bf8a39c22f6c6213a2d73065536752a1655cffa641e1c9447cbdb1ecd8fd72ab,2023-03,City of London Police,City of London Police,-0.088785,51.517102,On or near Moorgate,E01032739,City of London 001F,Drugs,Under investigation
03dd29f668ce746b7d40a485c079cb2b2520f1b1a86c7810ab71da65e6edf2de,2023-03,City of London Police,City of London Police,-0.079907,51.517785,On or near Victoria Avenue,E01032739,City of London 001F,Drugs,Under investigation
7f250d752a173df5a275a964b1283adee09db9ed1002b76105412f17cb31d808,2023-03,City of London Police,City of London Police,-0.101963,51.510761,On or near ,E01032739,City of London 001F,Drugs,Under investigation
bdb0690afbbeeda7f69f82926e917d5ce7ede1e2d88398e0bccdc2698b7280d1,2023-03,City of London Police,City of London Police,-0.079521,51.511196,On or near New London Street,E01032739,City of London 001F,Drugs,Under investigation
cdd8eabba9a412fea7b16f4e12707070b581942d12f9015d289fd0cbd7602234,2023-03,City of London Police,City of London Police,-0.101359,51.5187,On or near ,E01032740,City of London 001G,Drugs,Formal action is not in the public interest
4e54292298b9b2bc166bc641bb88636d8da78f41592412ce8c03c5abfc43ca5e,2023-03,City of London Police,City of London Police,-0.102726,51.513911,On or near Pageantmaster Court,E01032740,City of London 001G,Drugs,Under investigation
e119dc271ac9c901a4146154546ade40b0bf9de8c2b3cc54518954f9d9ee69ee,2023-03,City of London Police,City of London Police,-0.098875,51.518831,On or near Bartholomew Close,E01032740,City of London 001G,Drugs,Further investigation is not in the public interest
685df600b8171743028d8e88145de65c87363fe74b20658d296dc5323dc73eef,2023-03,City of London Police,City of London Police,-0.099803,51.519026,On or near Cloth Fair,E01032740,City of London 001G,Drugs,Offender given a drugs possession warning
932e8cf8807d2f466f2262fd22de2c8eff578f230606e9ac5f4deb0cf6c77b42,2023-03,City of London Police,City of London Police,-0.10845,51.514202,On or near Fleet Street,E01032740,City of London 001G,Drugs,Under investigation
df738ec6f9dba9f67070f1a3051f97152f5af86aed49d69309912d5fd36ee7d9,2023-03,City of London Police,City of London Police,-0.086858,51.521127,On or near ,E01002704,Islington 023D,Drugs,Under investigation
86195912c4a496c005d0a97603e3b2e17e6ec705365d363fb8b4fecdc15c154e,2023-03,City of London Police,City of London Police,-0.072542,51.5131,On or near ,E01032767,Tower Hamlets 021F,Drugs,Under investigation
c6ff23180c1b97fb792244b0c4913ffecbacb7877949e0a2a18100d5ef2104ba,2023-03,City of London Police,City of London Police,-0.073531,51.513813,On or near Braham Street,E01032767,Tower Hamlets 021F,Drugs,Under investigation
